img_id,label,score,x1,x2,y1,y2
00016,0,0.82495844,0.4010637,0.89975077,0.106277056,0.5555355
00018,0,0.82207876,0.4300307,0.68151134,0.36573938,0.8973253
00019,0,0.7993335,0.3397471,0.67564917,0.6749463,0.8730119
00023,0,0.6388176,0.14264861,0.31851354,0.2951884,0.6185229
00030,0,0.78899443,0.7284719,0.8723566,0.48069867,0.69990134
00036,0,0.89318824,0.10504738,0.9875613,0.026676608,0.7983781
00036,0,0.2695135,0.132287,0.281219,0.49913046,0.8134215
00039,0,0.7763882,0.03542329,0.8170817,0.42772314,0.7369142
00040,0,0.40684474,0.35639435,0.98494774,0.12784371,0.92735255
00040,0,0.2685935,0.3160995,0.5748165,0.431302,0.57868
00048,0,0.8204192,0.023133185,0.994288,0.01359753,0.9720409
00048,0,0.213431,0.048866,0.240856,0.364618,0.915944
00086,0,0.46534905,0.25561738,0.5029849,0.3996663,0.84386927
00092,0,0.8653139,0.009476194,0.84304386,0.0043990426,0.9552212
00096,0,0.5172515,0.093284495,0.96919054,0.40555337,0.8244245
00098,0,0.684255,0.1630308,0.36149356,0.37161463,0.6738248
00099,0,0.67516804,0.21224417,0.9868343,0.38096097,0.9560253
00100,0,0.43288144,0.26965308,0.6078892,0.56493694,0.98601747
00100,0,0.364051,0.372268,0.556508,0.552074,0.919006
00100,0,0.154244,0.6552065,0.7222635,0.8737367,0.9581114
00121,0,0.6564671,0.62375695,0.7583535,0.28179544,0.5552917
00135,0,0.8404254,0.01121556,0.8672383,0.023586312,0.9600588
00148,0,0.8179481,0.008645141,0.7178743,0.121102944,0.86939126
00153,0,0.8401116,0.23913597,1.0,0.1807306,0.7645338
00160,0,0.695519,0.21361154,0.8511942,0.495644,0.98980314
00161,0,0.56606734,0.21430272,0.5608807,0.68941194,0.84215945
00161,0,0.310743,0.6773265,0.83999157,0.428444,0.552904
00163,0,0.88222957,0.38876745,0.7385181,0.5404489,0.9799506
00163,0,0.25188,0.28968385,0.37419215,0.2275485,0.5112775
00174,0,0.65070987,0.28428948,0.44678494,0.61107904,0.84160805
00177,0,0.78837353,0.01863259,0.8412658,0.0,0.931347
00181,0,0.8219131,0.18644308,0.7647461,0.0021797172,0.8373308
00186,0,0.5864692,0.0,0.4956912,0.46837795,0.9206203
00186,0,0.1739655,0.001797,0.244349,0.4791585,0.9014115
00190,0,0.8349341,0.0016961,0.98595625,0.13307586,0.9803675
00193,0,0.6960245,0.28170338,0.38998848,0.6337463,0.7403004
00194,0,0.6882755,0.43337488,0.58424056,0.14018555,0.65093595
00195,0,0.74657977,0.5561505,0.6548328,0.49340412,0.9269114
00195,0,0.400355,0.44830546,0.5215365,0.521669,0.7812611
00202,0,0.81983256,0.72810763,0.93573517,0.0066614756,0.5681108
00202,0,0.333896,0.4416165,0.5949615,0.3606425,0.5740555
00206,0,0.66429275,0.19879033,0.6452202,0.019226551,0.7896841
00209,0,0.71719587,0.0657002,0.28778192,0.76122993,0.9338853
00209,0,0.3355215,0.262241,0.728411,0.23931299,0.563525
00209,0,0.31376,0.6495045,0.9493335,0.7469715,0.9555525
00209,0,0.23167,0.8343665,0.9462175,0.7579417,0.85301024
00209,0,0.164544,0.646599,0.7832369,0.747529,0.897331
00209,0,0.151657,0.0008428001,0.0807058,0.300626,0.386596
00211,0,0.8523379,0.054295193,1.0,0.3596548,0.8495587
00214,0,0.7527326,0.3348211,0.766738,0.0033134243,0.64909905
00232,0,0.6454099,0.012962018,0.745399,0.13350767,0.48669606
00236,0,0.38860047,0.7232504,0.9385249,0.2774635,0.6422718
00246,0,0.72189045,0.034246176,0.96695095,0.67463434,0.9492334
00246,0,0.1375135,0.0323505,0.2023495,0.787178,0.958494
00265,0,0.48237398,0.0,0.93812233,0.20148969,0.90797496
00265,0,0.353896,0.55638,0.929836,0.366772,0.668666
00265,0,0.3297,0.0,0.51823,0.2583595,0.88528246
00265,0,0.1420365,0.0,0.2259945,0.2591255,0.8657885
00267,0,0.7091551,0.078710265,0.9979695,0.25304666,0.9929112
00278,0,0.48390234,0.061725866,0.20165674,0.34609625,0.61644757
00278,0,0.370091,0.2925775,0.4385585,0.426126,0.613174
00281,0,0.88161445,0.2643753,0.45251843,0.6160418,0.80686766
00281,0,0.428366,0.8072845,0.9999995,0.61844903,0.851175
00281,0,0.196336,0.4479555,0.5705185,0.43906552,0.5224465
00284,0,0.796415,0.016276816,0.5695793,0.33492813,0.98424834
00286,0,0.8346957,0.19858642,0.8553372,0.022527553,0.83619845
00291,0,0.58157736,0.16383174,0.67960536,0.39082682,0.8814791
00291,0,0.2685485,0.1432635,0.6393485,0.4154865,0.6685915
00298,0,0.6666939,0.16661018,0.6614461,0.048740212,0.9231312
00300,0,0.60843676,0.006010923,0.9503772,0.77582675,0.97238797
00300,0,0.3525865,0.0203725,0.9947895,5e-07,0.93278944
00300,0,0.177969,0.36961597,0.974658,0.849283,0.9582629
00300,0,0.152242,0.121501006,0.806239,0.84617007,0.96495
00301,0,0.67898285,0.014751622,0.53762,0.003298242,0.9919451
00306,0,0.7681736,0.63036686,0.99261665,0.11503031,0.98740166
00313,0,0.8217947,0.53600335,1.0,0.34706268,0.92284864
00328,0,0.74802923,0.460111,0.9915856,0.23981375,0.99323475
00329,0,0.7426521,0.0048787743,0.6004475,0.10580525,0.60942453
00329,0,0.351898,0.84406406,0.995272,0.36019152,0.83690053
00335,0,0.4553526,0.0,0.9431121,0.28819197,0.60152614
00335,0,0.1826795,0.1669235,0.6693345,0.270001,0.590805
00337,0,0.83843696,0.15594478,0.9153547,0.5005503,0.9913135
00337,0,0.147109,0.907216,0.99389595,0.605929,0.790633
00345,0,0.60524184,0.3681609,0.60974157,0.2545468,0.7159522
00357,0,0.84252954,2.0469858e-07,0.99082,0.01735058,0.92447406
00359,0,0.68885434,0.32019445,0.502596,0.3989893,0.6261039
00379,0,0.8498051,0.0035160712,0.98299545,0.0110927345,0.92499477
00380,0,0.8263394,0.35167986,0.8527638,0.34127462,0.8498283
00387,0,0.337175,0.2801815,0.5997065,0.19643298,0.553859
00387,0,0.2703505,0.0015144,0.1463894,0.327539,0.796693
00387,0,0.2535576,0.107331574,0.8460596,0.14246333,0.79905605
00387,0,0.191348,0.635443,0.851313,0.467118,0.7149681
00392,0,0.5970321,0.34506297,0.57540417,0.11674418,0.35639
00392,0,0.3477635,0.7698295,1.0,0.3457505,0.7841055
00403,0,0.45449683,2.0508504e-07,0.76553303,0.61998785,0.8318469
00406,0,0.7083187,0.291094,0.7442711,0.18622881,0.9047611
00407,0,0.7989951,0.48483303,0.6537648,0.5598611,0.9697015
00412,0,0.3475795,0.24940355,0.31604445,0.41527286,0.49521714
00412,0,0.2984439,0.7094202,0.99499106,0.45041835,0.8553447
00412,0,0.2928525,0.81572413,0.9087398,0.711548,0.838566
00412,0,0.2730065,0.080852,0.19572,0.296096,0.401464
00412,0,0.1607,0.39312166,0.4410263,0.49257106,0.5519669
00412,0,0.1338,0.19236176,0.22476225,0.42602804,0.47423992
00414,0,0.50127065,0.42714325,0.5597733,0.48329934,0.67012656
00414,0,0.20835,0.432412,0.7079799,0.501805,0.687199
00414,0,0.1558935,0.6278125,0.7047135,0.3788935,0.4446765
00428,0,0.88790154,0.6266133,0.9439938,0.25271568,0.7007663
00428,0,0.293323,0.5396295,0.6920045,0.6438975,0.7792025
00430,0,0.6297537,0.38775212,0.63541317,0.4066148,0.5677738
00430,0,0.265603,0.38891664,0.41706535,0.6384295,0.7514045
00430,0,0.2612795,0.39237925,0.44856676,0.49641973,0.56992227
00430,0,0.2405745,0.4680563,0.4948637,0.64747,0.756352
00430,0,0.132584,0.8132993,0.8635047,0.5518155,0.6917245
00432,0,0.6252503,0.39905336,0.95789266,0.0056920005,0.7755057
00432,0,0.2684115,1e-07,0.1055701,0.0079025,0.5621075
00435,0,0.4644376,0.28567022,0.9846217,0.21759696,0.6899291
00435,0,0.329829,0.08686465,0.13719136,0.32686,0.5161
00435,0,0.291076,0.003008,0.133391,0.082617,0.193175
00435,0,0.2845575,0.714333,0.932709,0.0067487,0.1851507
00435,0,0.19109,0.577492,0.6878741,0.6505225,0.7648795
00435,0,0.137555,0.19256635,0.27791166,0.3300625,0.5089015
00437,0,0.8348135,0.17979302,0.63729954,0.15647873,0.58835787
00438,0,0.92789894,0.292671,0.788162,0.112887286,0.6509203
00439,0,0.91154885,0.19458915,0.95239425,0.04706209,0.8369043
00439,0,0.379425,0.061069,0.363301,0.4372095,0.5737345
00442,0,0.9231873,0.06472632,0.85454154,0.00029375197,0.73181844
00442,0,0.403502,0.739276,0.804746,0.8376825,0.9479015
00442,0,0.195885,0.6791976,0.73454833,0.7351944,0.78986365
00448,0,0.8567252,0.26290146,0.62686825,0.3295827,0.70159626
